UNITID,XTUIT1,TUITION1,XFEE1,FEE1,XHRCHG1,HRCHG1,XCMPFEE1,CMPFEE1,XTUIT2,TUITION2,XFEE2,FEE2,XHRCHG2,HRCHG2,XCMPFEE2,CMPFEE2,XTUIT3,TUITION3,XFEE3,FEE3,XHRCHG3,HRCHG3,XCMPFEE3,CMPFEE3,XTUIT5,TUITION5,XFEE5,FEE5,XHRCHG5,HRCHG5,XTUIT6,TUITION6,XFEE6,FEE6,XHRCHG6,HRCHG6,XTUIT7,TUITION7,XFEE7,FEE7,XHRCHG7,HRCHG7,XISPRO1,ISPROF1,XISPFE1,ISPFEE1,XOSPRO1,OSPROF1,XOSPFE1,OSPFEE1,XISPRO2,ISPROF2,XISPFE2,ISPFEE2,XOSPRO2,OSPROF2,XOSPFE2,OSPFEE2,XISPRO3,ISPROF3,XISPFE3,ISPFEE3,XOSPRO3,OSPROF3,XOSPFE3,OSPFEE3,XISPRO4,ISPROF4,XISPFE4,ISPFEE4,XOSPRO4,OSPROF4,XOSPFE4,OSPFEE4,XISPRO5,ISPROF5,XISPFE5,ISPFEE5,XOSPRO5,OSPROF5,XOSPFE5,OSPFEE5,XISPRO6,ISPROF6,XISPFE6,ISPFEE6,XOSPRO6,OSPROF6,XOSPFE6,OSPFEE6,XISPRO7,ISPROF7,XISPFE7,ISPFEE7,XOSPRO7,OSPROF7,XOSPFE7,OSPFEE7,XISPRO8,ISPROF8,XISPFE8,ISPFEE8,XOSPRO8,OSPROF8,XOSPFE8,OSPFEE8,XISPRO9,ISPROF9,XISPFE9,ISPFEE9,XOSPRO9,OSPROF9,XOSPFE9,OSPFEE9,XISPRO10,ISPROF10,XISPFE10,ISPFEE10,XOSPRO10,OSPROF10,XOSPFE10,OSPFEE10,XISPRO11,ISPROF11,XISPFE11,ISPFEE11,XOSPRO11,OSPROF11,XOSPFE11,OSPFEE11,XCHG1AY1,CHG1AY1,XCHG1AY2,CHG1AY2,XCHG1AY3,CHG1AY3,XCHG2AY1,CHG2AY1,XCHG2AY2,CHG2AY2,XCHG2AY3,CHG2AY3,XCHG3AY1,CHG3AY1,XCHG3AY2,CHG3AY2,XCHG3AY3,CHG3AY3,XCHG4AY1,CHG4AY1,XCHG4AY2,CHG4AY2,XCHG4AY3,CHG4AY3,XCHG5AY1,CHG5AY1,XCHG5AY2,CHG5AY2,XCHG5AY3,CHG5AY3,XCHG6AY1,CHG6AY1,XCHG6AY2,CHG6AY2,XCHG6AY3,CHG6AY3,XCHG7AY1,CHG7AY1,XCHG7AY2,CHG7AY2,XCHG7AY3,CHG7AY3,XCHG8AY1,CHG8AY1,XCHG8AY2,CHG8AY2,XCHG8AY3,CHG8AY3,XCHG9AY1,CHG9AY1,XCHG9AY2,CHG9AY2,XCHG9AY3,CHG9AY3,XCMP1AY1,CMP1AY1,XCMP1AY2,CMP1AY2,XCMP1AY3,CMP1AY3,XCMP2AY1,CMP2AY1,XCMP2AY2,CMP2AY2,XCMP2AY3,CMP2AY3,XCMP3AY1,CMP3AY1,XCMP3AY2,CMP3AY2,XCMP3AY3,CMP3AY3,CINDON,CINDOFF,CINDFAM,CINSON,CINSOFF,CINSFAM,COTSON,COTSOFF,COTSFAM 
100636,"R",0,"R",0,"R",0,"A",.,"R",0,"Z",0,"R",0,"A",.,"R",0,"Z",0,"R",0,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,.,.,.,.,.,.,.
100654,"R",3120,"R",530,"R",130,"A",.,"R",3120,"R",530,"R",130,"A",.,"R",6240,"R",530,"R",260,"A",.,"R",3564,"R",540,"R",198,"R",3564,"R",540,"R",198,"R",7128,"R",540,"R",396,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",3352,"R",4420,"R",4420,"R",3352,"R",4420,"R",4420,"R",6184,"R",8320,"R",8320,"R",900,"R",1800,"R",1800,"R",4500,"R",4770,"R",4770,"R",2300,"R",2600,"R",2600,"R",4500,"R",4770,"R",4770,"R",2300,"R",2600,"R",2600,"R",1300,"R",1300,"R",1300,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,13590,13590,7520,13590,13590,7520,17490,17490,11420
100663,"R",3960,"R",832,"R",132,"A",.,"R",3960,"R",832,"R",132,"A",.,"R",9900,"R",832,"R",330,"A",.,"R",4080,"R",724,"R",170,"R",4080,"R",724,"R",170,"R",10200,"R",724,"R",425,"Y",.,"Y",.,"Y",.,"Y",.,"R",9633,"R",1626,"R",28899,"R",1626,"R",11365,"R",1401,"R",34095,"R",1401,"R",10304,"R",2764,"R",30912,"R",2764,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",4274,"R",4662,"R",4792,"R",4274,"R",4662,"R",4792,"R",9494,"R",10422,"R",10732,"R",900,"R",900,"R",900,"R",8627,"R",8743,"R",8924,"R",2438,"R",2438,"R",2438,"R",8823,"R",8823,"R",8904,"R",3375,"R",3375,"R",3375,"R",3375,"R",3375,"R",3375,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,17054,17971,9067,17054,17971,9067,22994,23911,15007
100690,"R",9600,"R",800,"R",400,"A",.,"R",9600,"R",800,"R",400,"A",.,"R",9600,"R",800,"R",400,"A",.,"R",8730,"R",800,"R",485,"R",8730,"R",800,"R",485,"R",8730,"R",800,"R",485,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",8730,"R",800,"R",8730,"R",800,"Y",.,"Y",.,"Y",.,"Y",.,"R",9440,"R",10040,"R",10400,"R",9440,"R",10040,"R",10400,"R",9440,"R",10040,"R",10400,"R",600,"R",600,"R",600,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7782,"R",7782,"R",7782,"R",1474,"R",1474,"R",1474,"R",1474,"R",1474,"R",1474,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,20256,12474,.,20256,12474,.,20256,12474
100706,"R",3818,"R",870,"R",147,"A",.,"R",3818,"R",870,"R",147,"A",.,"R",8146,"R",1740,"R",312,"A",.,"R",5170,"R",696,"R",244,"R",5170,"R",696,"R",244,"R",10668,"R",1392,"R",500,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",4126,"R",4516,"R",4688,"R",4126,"R",4516,"R",4688,"R",8702,"R",9518,"R",9886,"R",720,"R",720,"R",720,"R",6380,"R",6480,"R",6600,"R",2015,"R",2015,"R",2015,"R",6380,"R",6480,"R",6600,"R",2280,"R",2280,"R",2280,"R",2280,"R",2280,"R",2280,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,14023,14288,7688,14023,14288,7688,19221,19486,12886
100724,"R",4008,"R",0,"R",133,"A",.,"R",4008,"R",0,"R",133,"A",.,"R",8016,"R",0,"R",267,"A",.,"R",4608,"R",0,"R",192,"R",4608,"R",0,"R",192,"R",9216,"R",0,"R",384,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",3600,"R",4008,"R",4008,"R",3600,"R",4008,"R",4008,"R",7200,"R",8016,"R",8016,"R",800,"R",800,"R",800,"R",3600,"R",3600,"R",3600,"R",2310,"R",2310,"R",2310,"R",5625,"R",5625,"R",5625,"R",2820,"R",2820,"R",2820,"R",2820,"R",2820,"R",2820,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,10718,13253,7628,10718,13253,7628,14726,17261,11636
100751,"R",4864,"R",0,"R",268,"A",.,"R",4864,"R",0,"R",268,"A",.,"R",13516,"R",0,"R",641,"A",.,"R",4864,"R",0,"R",294,"R",4864,"R",0,"R",294,"R",13516,"R",0,"R",709,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",12507,"R",0,"R",35237,"R",0,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",8660,"R",0,"R",18028,"R",0,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",4134,"R",4630,"R",4864,"R",4134,"R",4630,"R",4864,"R",11294,"R",12664,"R",13516,"R",800,"R",800,"R",900,"R",6568,"R",7098,"R",8000,"R",2392,"R",2426,"R",2820,"R",7102,"R",7310,"R",8000,"R",2722,"R",2762,"R",2820,"R",3378,"R",3438,"R",2820,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,16584,16584,8584,16584,16584,8584,25236,25236,17236
100760,"R",2130,"R",570,"R",71,"A",.,"R",2130,"R",570,"R",71,"A",.,"R",4260,"R",570,"R",142,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",2296,"R",2700,"R",2340,"R",2296,"R",2700,"R",2340,"R",4560,"R",5400,"R",4830,"R",700,"R",700,"R",700,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6400,"R",6400,"R",6400,"R",1075,"R",1075,"R",1075,"R",1000,"R",1000,"R",1000,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,10515,4040,.,10515,4040,.,13005,6530
100812,"R",3300,"R",570,"R",110,"A",.,"R",3300,"R",570,"R",110,"A",.,"R",6600,"R",570,"R",220,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,.,.,.,.,.,.,.
100830,"R",4640,"R",230,"R",147,"A",.,"R",4640,"R",230,"R",147,"A",.,"R",13200,"R",230,"R",440,"A",.,"R",4224,"R",200,"R",176,"R",4225,"R",200,"R",176,"R",12672,"R",200,"R",528,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",4130,"R",4460,"R",4640,"R",4130,"R",4460,"R",4640,"R",11930,"R",12920,"R",13460,"R",600,"R",600,"R",600,"R",4890,"R",4890,"R",4890,"R",2360,"R",2510,"R",2510,"R",6890,"R",6890,"R",6890,"R",2360,"R",2510,"R",2510,"R",2360,"R",2510,"R",2510,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,12640,14640,7750,12640,14640,7750,21460,23460,16570
100858,"R",4800,"R",478,"R",199,"A",.,"R",4800,"R",478,"R",199,"A",.,"R",14400,"R",478,"R",597,"A",.,"R",4800,"R",398,"R",199,"R",4800,"R",398,"R",199,"R",14400,"R",398,"R",597,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",12720,"R",238,"R",22320,"R",238,"Y",.,"Y",.,"Y",.,"Y",.,"R",9180,"R",238,"R",27540,"R",238,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",4666,"R",5068,"R",5278,"R",4666,"R",5068,"R",5278,"R",13126,"R",14288,"R",14878,"R",900,"R",900,"R",1000,"R",5970,"R",6686,"R",7232,"R",1689,"R",1988,"R",2054,"R",6270,"R",6692,"R",6952,"R",2114,"R",2424,"R",2504,"R",1689,"R",1988,"R",2054,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,15564,15734,8332,15564,15734,8332,25164,25334,17932
100919,"R",2130,"R",570,"R",71,"A",.,"R",2130,"R",570,"R",71,"A",.,"R",4260,"R",570,"R",142,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",2199,"R",2304,"R",2700,"R",2199,"R",2304,"R",2700,"R",3881,"R",4154,"R",4830,"R",1001,"R",1001,"R",1200,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5667,"R",5667,"R",7793,"R",2267,"R",2267,"R",3000,"R",2267,"R",2267,"R",2025,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,14693,5925,.,14693,5925,.,16823,8055
100937,"R",20810,"R",640,"R",867,"A",.,"R",20810,"R",640,"R",867,"A",.,"R",20810,"R",640,"R",867,"A",.,"R",13800,"R",225,"R",575,"R",13800,"R",225,"R",575,"R",13800,"R",225,"R",575,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",18530,"R",19450,"R",20810,"R",18530,"R",19450,"R",20810,"R",18530,"R",19450,"R",20810,"R",600,"R",600,"R",600,"R",7202,"R",7270,"R",7484,"R",400,"R",400,"R",400,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,29294,.,.,29294,.,.,29294,.,.
101028,"R",2130,"R",570,"R",71,"A",.,"R",2130,"R",570,"R",71,"A",.,"R",4260,"R",570,"R",142,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",2316,"R",2700,"R",2700,"R",2316,"R",2700,"R",2700,"R",3948,"R",4830,"R",4830,"R",800,"R",800,"R",800,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5400,"R",5400,"R",5400,"R",1800,"R",1800,"R",1800,"R",1800,"R",1800,"R",1800,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,10700,5300,.,10700,5300,.,12830,7430
101073,"R",6000,"R",264,"R",233,"A",.,"R",6000,"R",264,"R",233,"A",.,"R",6000,"R",264,"R",233,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6104,"R",6104,"R",6104,"R",6104,"R",6104,"R",6104,"R",6104,"R",6104,"R",6104,"R",600,"R",600,"R",600,"R",3200,"R",3200,"R",3200,"R",1364,"R",1364,"R",2000,"R",2500,"R",2500,"R",2500,"R",1104,"R",1104,"R",1000,"R",1104,"R",1104,"R",1000,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,11904,10204,7704,11904,10204,7704,11904,10204,7704
101116,"R",11475,"R",0,"R",260,"A",.,"R",11475,"Z",0,"R",260,"A",.,"R",11475,"Z",0,"R",260,"A",.,"R",16485,"R",0,"R",449,"R",16485,"Z",0,"R",449,"R",16485,"Z",0,"R",449,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10185,"R",11085,"R",11475,"R",10185,"R",11085,"R",11475,"R",10185,"R",11085,"R",11475,"R",900,"R",900,"R",900,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",4950,"R",5265,"R",7860,"R",2826,"R",4110,"R",4110,"R",2826,"R",4110,"R",4110,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,24345,16485,.,24345,16485,.,24345,16485
101143,"R",2130,"R",570,"R",71,"A",.,"R",2130,"R",570,"R",71,"A",.,"R",4260,"R",570,"R",142,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",2520,"R",2520,"R",2520,"R",2520,"R",2520,"R",2520,"R",4560,"R",4560,"R",4560,"R",600,"R",700,"R",700,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",4275,"R",4275,"R",4275,"R",1300,"R",1300,"R",1300,"R",1000,"R",1000,"R",1000,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,8795,4220,.,8795,4220,.,10835,6260
101161,"R",2130,"R",660,"R",71,"A",.,"R",2130,"R",660,"R",71,"A",.,"R",4260,"R",660,"R",142,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",2088,"R",2232,"R",2790,"R",2088,"R",2232,"R",2790,"R",3720,"R",3960,"R",3960,"R",700,"R",700,"R",700,"R",2965,"R",2965,"R",2965,"R",1500,"R",1400,"R",1400,"R",3300,"R",3000,"R",3000,"R",2400,"R",1600,"R",1700,"R",1500,"R",1200,"R",1300,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,7855,8190,4790,7855,8190,4790,9025,9360,5960
101189,"R",10450,"R",0,"R",365,"A",.,"R",10450,"Z",0,"R",365,"A",.,"R",10450,"Z",0,"R",365,"A",.,"R",13675,"R",0,"R",400,"R",13675,"Z",0,"R",400,"R",13675,"Z",0,"R",400,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"Y",.,"R",15600,"Z",0,"R",15600,"Z",0,"R",10800,"Z",0,"R",10800,"Z",0,"Y",.,"Y",.,"Y",.,"Y",.,"R",9750,"R",9750,"R",10500,"R",9750,"R",9750,"R",10500,"R",9750,"R",9750,"R",10500,"R",900,"R",1000,"R",1200,"R",4800,"R",5000,"R",5200,"R",2200,"R",2400,"R",2400,"R",4800,"R",5400,"R",5400,"R",2200,"R",2400,"R",2400,"R",2200,"R",2400,"R",2400,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,19300,19500,14100,19300,19500,14100,19300,19500,14100
101240,"R",2130,"R",570,"R",71,"A",.,"R",2130,"R",570,"R",71,"A",.,"R",4260,"R",570,"R",142,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",2520,"R",2700,"R",2700,"R",2520,"R",2700,"R",2700,"R",4560,"R",4830,"R",4830,"R",600,"R",800,"R",800,"R",2350,"R",2800,"R",2350,"R",495,"R",825,"R",825,"R",4500,"R",4500,"R",4500,"R",2786,"R",2917,"R",2917,"R",2786,"R",2917,"R",2917,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,6675,10917,6417,6675,10917,6417,8805,13047,8547
101286,"R",2160,"R",570,"R",71,"A",.,"R",2160,"R",570,"R",71,"A",.,"R",4320,"R",570,"R",142,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",2340,"R",2700,"R",2700,"R",2340,"R",2700,"R",2700,"R",4260,"R",4860,"R",4860,"R",605,"R",720,"R",900,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",3887,"R",4019,"R",4475,"R",300,"R",339,"R",400,"R",300,"R",339,"R",400,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,8475,4000,.,8475,4000,.,10635,6160
