unitid,part,a011,a012,a013,a021,a022,a023,a041,a042,a043,a051,a052,a053,a061,a062,a063,a071,a072,a073,a081,a082,a083,a091,a092,a093,a101,a102,a103,a111,a112,a113,a121,a122,a123,a131,a132,a133,a141,a142,a143,a151,a152,a153,a161,a162,a163,aline03,filler,"xa011","xa012","xa013","xa021","xa022","xa023","xa041","xa042","xa043","xa051","xa052","xa053","xa061","xa062","xa063","xa071","xa072","xa073","xa081","xa082","xa083","xa091","xa092","xa093","xa101","xa102","xa103","xa111","xa112","xa113","xa121","xa122","xa123","xa131","xa132","xa133","xa141","xa142","xa143","xa151","xa152","xa153","xa161","xa162","xa163","xaline03"
"100654","A","13279098","0","13279098","0","2865731","2865731","26228421","0","26228421","0","0","0","1492433","13914511","15406944","76163","1458822","1534985","0","0","0","48947","885070","934017","0","0","0","459215","0","459215","5949416","0","5949416","0","0","0","339455","9569","349024","0","0","0","47873148","19133703","67006851","0","",10,31,10,31,10,10,10,31,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"100663","A","45025457","0","45025457","0","0","0","164572187","1391033","165963220","0","0","0","28499238","101484432","129983670","267227","7385513","7652740","148333","4464922","4613255","10985164","34788774","45773938","1789","6261915","6263704","21490880","19786","21510666","16038702","0","16038702","475820676","0","475820676","49145107","4295702","53440809","0","0","0","811994760","160092077","972086837","0","",10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,31,10,10,10,10,31,31,31,10,10,10,31
"100672","A","756203","0","756203","0","0","0","2397378","13718","2411096","0","0","0","0","399566","399566","0","228123","228123","0","349","349","0","0","0","0","0","0","433","0","433","118481","0","118481","0","0","0","42262","0","42262","0","0","0","3314757","641756","3956513","0","",10,31,10,31,31,31,10,10,10,31,31,31,31,10,10,31,10,10,31,10,10,31,31,31,31,31,31,10,31,10,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"100690","A","544405","0","544405","0","0","0","0","0","0","0","0","0","0","36711","36711","0","0","0","0","0","0","1222677","0","1222677","17560","0","17560","0","0","0","0","0","0","0","0","0","10942","0","10942","0","0","0","1795584","36711","1832295","0","",10,31,10,31,31,31,31,31,31,31,31,31,31,10,10,31,31,31,31,31,31,10,31,10,10,31,10,31,31,31,31,31,31,31,31,31,10,31,10,31,31,31,10,10,10,31
"100706","A","17405890","0","17405890","0","0","0","35347868","0","35347868","0","0","0","4981652","24594729","29576381","132453","1810869","1943322","2169","10937","13106","931399","3722345","4653744","12332","24047","36379","0","0","0","3448382","0","3448382","0","0","0","4574320","0","4574320","0","0","0","66836465","30162927","96999392","0","",10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,31,31,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"100724","A","11864956","0","11864956","0","0","0","25782537","0","25782537","0","0","0","0","10079139","10079139","0","496034","496034","0","2400","2400","0","329037","329037","0","0","0","38399","0","38399","7552928","0","7552928","0","0","0","1184972","154956","1339928","0","0","0","46423792","11061566","57485358","0","",10,31,10,31,31,31,10,31,10,31,31,31,31,10,10,31,10,10,31,10,10,31,10,10,31,31,31,10,31,10,10,31,10,31,31,31,10,10,18,31,31,31,18,10,18,31
"100733","A","0","0","0","0","0","0","515290","0","515290","0","0","0","0","0","0","0","0","0","0","0","0","0","4544","4544","0","0","0","0","0","0","0","0","0","0","0","0","41726","0","41726","0","0","0","557016","4544","561560","0","",31,31,31,31,31,31,10,31,10,31,31,31,31,31,31,31,31,31,31,31,31,31,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,31,10,31,31,31,10,10,10,31
"100751","A","61251253","170237","61421490","0","0","0","108801401","23847","108825248","0","0","0","2987814","26755882","29743696","247853","4803455","5051308","39311","1320370","1359681","2356214","7748727","10104941","3202148","2973381","6175529","9167230","0","9167230","56778485","0","56778485","0","0","0","9198444","114197","9312641","0","0","0","254030153","43910096","297940249","0","",10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"100760","A","2231232","0","2231232","0","0","0","5397764","24710","5422474","0","0","0","3330","2409119","2412449","0","148792","148792","0","6200","6200","13554","136649","150203","0","0","0","27658","0","27658","573863","0","573863","0","0","0","205347","7120","212467","0","0","0","8452748","2732590","11185338","0","",10,31,10,31,31,31,11,10,10,31,31,31,10,10,10,31,10,10,31,10,10,10,10,10,31,31,31,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"100812","A","4311787","0","4311787","0","0","0","7274118","12446","7286564","0","0","0","959","1862123","1863082","0","315153","315153","0","0","0","0","0","0","0","0","0","0","0","0","705686","0","705686","0","0","0","140346","47108","187454","0","0","0","12432896","2236830","14669726","0","",10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"100830","A","11205310","0","11205310","0","0","0","17037787","0","17037787","0","0","0","45299","3094620","3139919","160123","1177149","1337272","55615","262242","317857","22414","1033070","1055484","287044","117278","404322","2029810","0","2029810","3900213","0","3900213","0","0","0","301936","334","302270","0","0","0","35045551","5684693","40730244","0","",10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"100858","A","60763228","0","60763228","0","14400117","14400117","164896575","0","164896575","0","2057938","2057938","3361618","20817429","24179047","495289","5742738","6238027","0","109340","109340","2084821","18583617","20668438","1437919","3498524","4936443","13942061","0","13942061","46474280","0","46474280","0","0","0","9609777","2431866","12041643","0","0","0","303065568","67641569","370707137","0","",10,31,10,31,10,10,10,31,10,31,10,10,10,10,10,10,10,10,31,10,10,10,10,10,10,10,10,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"100919","A","1397127","0","1397127","0","0","0","5102707","150188","5252895","0","0","0","0","1391994","1391994","0","59852","59852","1085244","0","1085244","10359","15179","25538","0","0","0","23763","0","23763","822201","0","822201","0","0","0","370715","0","370715","0","0","0","8812116","1617213","10429329","0","",10,31,10,31,31,31,10,10,10,31,31,31,31,11,11,31,11,11,10,31,10,10,10,18,31,31,31,10,31,10,10,31,10,31,31,31,10,31,10,31,31,31,18,18,18,31
"100937","A","15449016","0","15449016","0","0","0","0","0","0","0","0","0","0","632612","632612","0","946758","946758","0","0","0","1209875","3399912","4609787","397435","1918813","2316248","312602","347094","659696","4523759","0","4523759","0","0","0","108487","0","108487","0","0","0","22001174","7245189","29246363","0","",10,31,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"100964","A","1190056","0","1190056","0","0","0","2643361","47962","2691323","0","0","0","0","819868","819868","0","26179","26179","0","0","0","0","0","0","0","0","0","10739","0","10739","318912","0","318912","0","0","0","90296","7700","97996","0","0","0","4253364","901709","5155073","0","",10,31,10,31,31,31,10,10,10,31,31,31,31,10,10,31,10,10,31,31,31,31,31,31,31,31,31,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"101028","A","2193336","0","2193336","1125","0","1125","3871264","38275","3909539","0","5211","5211","0","1565648","1565648","0","73166","73166","55590","0","55590","74477","0","74477","0","0","0","0","0","0","82580","0","82580","0","0","0","63011","0","63011","0","0","0","6341383","1682300","8023683","0","",10,31,10,10,31,10,10,10,10,31,10,10,31,10,10,31,10,10,10,31,10,10,31,10,31,31,31,31,31,31,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"101037","A","696393","0","696393","0","0","0","3126312","31870","3158182","0","0","0","0","1750414","1750414","0","82341","82341","0","12442","12442","0","1205","1205","0","0","0","55454","0","55454","177114","0","177114","0","0","0","161456","0","161456","0","0","0","4216729","1878272","6095001","0","",10,31,10,31,31,31,10,10,10,31,31,31,31,10,10,31,10,10,31,10,10,31,10,10,31,31,31,10,31,10,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"101073","A","1599695","0","1599695","0","0","0","0","0","0","0","0","0","0","1230953","1230953","0","413743","413743","0","0","0","433274","329134","762408","163176","0","163176","0","0","0","461377","0","461377","0","0","0","43328","0","43328","0","0","0","2700850","1973830","4674680","0","",10,31,10,31,31,31,31,31,31,31,31,31,31,10,10,31,11,11,31,31,31,10,10,10,10,31,10,31,31,31,10,31,10,31,31,31,10,31,10,31,31,31,10,11,11,31
"101107","A","655611","0","655611","0","0","0","2780086","24921","2805007","0","0","0","3185","1155227","1158412","0","20299","20299","56246","14363","70609","0","0","0","0","0","0","60960","0","60960","186562","0","186562","0","0","0","61746","0","61746","0","0","0","3804396","1214810","5019206","0","",11,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31,10,10,16,10,11,31,31,31,31,31,31,10,31,10,10,31,10,31,31,31,10,31,10,31,31,31,18,10,18,31
"101116","A","1142210","0","1142210","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","127742","0","127742","0","0","0","0","0","0","0","0","0","1269952","0","1269952","0","",10,31,10,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,10,31,10,31,31,31,31,31,31,31,31,31,10,31,10,31
"101143","A","1962288","0","1962288","0","0","0","3993460","11781","4005241","0","0","0","0","1666708","1666708","0","453511","453511","0","4195","4195","0","0","0","0","0","0","0","0","0","484498","0","484498","0","0","0","113511","0","113511","0","0","0","6553757","2136195","8689952","0","",10,31,10,31,10,10,10,10,10,31,31,31,31,10,10,31,10,10,31,10,10,31,31,31,31,31,31,31,31,31,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"101161","A","3704962","0","3704962","0","0","0","6173752","22370","6196122","450736","0","450736","0","2528105","2528105","0","148367","148367","0","0","0","0","0","0","0","0","0","0","0","0","1461355","0","1461355","0","0","0","195216","0","195216","0","0","0","11986021","2698842","14684863","0","",10,31,10,31,31,31,10,10,10,10,31,10,31,10,10,31,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"101189","A","10340466","0","10340466","0","0","0","0","0","0","0","0","0","0","2133435","2133435","0","1907760","1907760","0","0","0","618478","23181","641659","15178","45453","60631","0","0","0","962235","0","962235","0","0","0","261629","926","262555","0","0","0","12197986","4110755","16308741","0","",10,31,10,31,31,31,31,31,31,31,31,31,31,10,10,31,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"101240","A","6502329","0","6502329","0","0","0","12331306","148567","12479873","0","0","0","0","4268255","4268255","2500","777950","780450","0","23286","23286","1100","43606","44706","33699","14078","47777","53136","0","53136","605728","0","605728","0","0","0","478812","0","478812","0","0","0","20008610","5275742","25284352","0","",10,31,10,31,31,31,10,10,10,31,31,31,31,10,10,10,10,10,31,16,16,10,10,10,10,10,10,10,31,10,10,31,10,31,31,31,10,31,10,31,31,31,10,18,18,31
"101286","A","3755263","0","3755263","0","0","0","8019267","41166","8060433","0","0","0","0","2279826","2279826","0","83166","83166","0","0","0","25","500","525","0","0","0","37790","0","37790","977883","0","977883","0","0","0","279040","0","279040","0","0","0","13069268","2404658","15473926","0","",10,31,10,31,10,10,10,10,10,31,31,31,31,10,10,31,10,10,31,31,31,10,10,10,31,31,31,10,31,10,10,31,10,31,31,31,16,31,16,31,31,31,18,10,18,31
"101295","A","4502040","0","4502040","0","0","0","10553524","49612","10603136","0","0","0","11576","4925663","4937239","50000","160294","210294","0","0","0","383845","38796","422641","0","0","0","146092","0","146092","1656815","4603","1661418","0","0","0","228426","0","228426","0","0","0","17532318","5178968","22711286","0","",10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,31,10,10,10,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"101301","A","1876969","0","1876969","0","0","0","4564274","36720","4600994","0","0","0","0","2641014","2641014","0","0","0","0","0","0","0","0","0","0","0","0","37870","0","37870","407181","0","407181","0","0","0","152705","55","152760","0","0","0","7038999","2677789","9716788","0","",10,31,10,31,31,31,10,10,10,31,31,31,31,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"101347","A","611521","0","611521","0","0","0","2808064","23889","2831953","0","0","0","0","385686","385686","0","0","0","0","0","0","200","2861","3061","0","0","0","25893","0","25893","126226","0","126226","0","0","0","34977","54","35031","0","0","0","3606881","412490","4019371","0","",10,31,10,31,10,10,10,10,10,31,31,31,31,10,10,31,31,31,31,31,31,10,10,10,31,31,31,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"101435","A","4919038","0","4919038","0","0","0","0","0","0","0","0","0","0","341291","341291","0","363558","363558","0","0","0","2512553","199304","2711857","485379","0","485379","0","0","0","1426936","0","1426936","0","0","0","186915","0","186915","0","0","0","9530821","904153","10434974","0","",10,31,10,31,31,31,31,31,31,31,31,31,31,10,10,31,10,10,31,31,31,10,10,10,10,31,10,31,31,31,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"101453","A","400686","0","400686","0","0","0","0","0","0","0","0","0","0","90563","90563","0","0","0","0","0","0","612487","722054","1334541","14024","40644","54668","7277","1571","8848","93870","0","93870","0","0","0","27129","4533","31662","0","0","0","1155473","859365","2014838","0","",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"101462","A","595582","0","595582","0","0","0","2889684","22722","2912406","0","0","0","3934","1335675","1339609","0","0","0","0","176860","176860","0","0","0","0","0","0","0","0","0","134525","0","134525","0","0","0","97476","0","97476","0","0","0","3721201","1535257","5256458","0","",10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,31,10,10,31,31,31,31,31,31,31,31,31,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"101480","A","14234200","0","14234200","0","0","0","25634803","0","25634803","0","0","0","387282","4999537","5386819","9728","1319261","1328989","0","75023","75023","64708","205942","270650","246347","20584","266931","547752","0","547752","3363697","0","3363697","0","0","0","941985","28664","970649","0","0","0","45430502","6649011","52079513","0","",10,31,10,31,31,31,10,31,10,31,31,31,10,21,18,10,10,10,31,10,10,10,10,10,10,10,10,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,18,18,31
"101499","A","1817958","0","1817958","0","0","0","4882659","34998","4917657","0","0","0","13710","1561539","1575249","0","98946","98946","0","0","0","0","182657","182657","0","20933","20933","36042","0","36042","439315","0","439315","0","0","0","183825","5274","189099","0","0","0","7373509","1904347","9277856","0","",10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31,10,10,31,31,31,31,10,10,31,10,10,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"101505","A","5838449","0","5838449","0","0","0","10957315","39202","10996517","150000","0","150000","0","3692357","3692357","0","91897","91897","0","5000","5000","19029","100543","119572","0","0","0","0","0","0","1123701","0","1123701","0","0","0","259207","6319","265526","0","0","0","18347701","3935318","22283019","0","",10,31,10,31,31,31,10,10,10,10,31,10,31,10,10,31,10,10,31,10,10,10,10,10,31,31,31,31,31,31,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"101514","A","6898663","0","6898663","0","0","0","13254048","65647","13319695","0","0","0","0","4068953","4068953","0","346149","346149","0","3100","3100","0","0","0","0","0","0","201640","0","201640","1478828","0","1478828","0","0","0","730229","4811","735040","0","0","0","22563408","4488660","27052068","0","",10,31,10,31,31,31,10,10,10,31,31,31,31,10,10,31,10,10,31,10,10,31,31,31,31,31,31,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"101523","A","1251264","0","1251264","0","0","0","3822737","38980","3861717","0","0","0","0","1395522","1395522","0","0","0","0","0","0","0","0","0","0","0","0","39947","0","39947","231631","0","231631","0","0","0","172479","702","173181","0","0","0","5518058","1435204","6953262","0","",10,31,10,31,31,31,10,10,10,31,31,31,31,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,31,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"101541","A","1480124","0","1480124","0","0","0","0","0","0","0","0","0","23428","150130","173558","0","68019","68019","0","0","0","1855475","52651","1908126","217327","0","217327","0","0","0","886782","0","886782","0","0","0","153395","0","153395","0","0","0","4616531","270800","4887331","0","",10,31,10,31,31,31,31,31,31,31,31,31,10,10,10,31,10,10,31,31,31,10,10,10,10,31,10,31,31,31,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"101569","A","2366842","0","2366842","0","0","0","5836429","40084","5876513","0","0","0","0","4170615","4170615","0","58400","58400","199000","27765","226765","0","0","0","0","0","0","0","0","0","597448","0","597448","0","0","0","224008","0","224008","0","0","0","9223727","4296864","13520591","0","",10,31,10,31,31,31,10,10,10,31,31,31,31,11,11,31,16,16,10,10,10,31,31,31,31,31,31,31,31,31,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"101587","A","3382966","68077","3451043","0","0","0","7908158","0","7908158","0","0","0","0","2163828","2163828","0","234523","234523","0","176115","176115","0","345218","345218","0","0","0","0","0","0","3219722","0","3219722","0","0","0","1096783","0","1096783","0","0","0","15607629","2987761","18595390","0","",10,10,10,31,31,31,10,31,10,31,31,31,31,10,10,31,10,10,31,10,10,31,10,10,31,31,31,31,31,31,10,31,10,31,31,31,10,31,10,31,31,31,10,18,18,31
"101602","A","1229201","0","1229201","0","0","0","2849252","0","2849252","0","0","0","0","1767628","1767628","248613","93082","341695","0","0","0","0","0","0","0","0","0","0","0","0","252038","0","252038","0","0","0","154370","0","154370","0","0","0","4733474","1860710","6594184","0","",10,31,10,31,31,31,10,31,10,31,31,31,31,10,10,10,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"101648","A","2088418","0","2088418","0","0","0","319654","0","319654","0","0","0","0","126683","126683","0","0","0","0","0","0","338678","0","338678","0","0","0","0","0","0","459721","0","459721","0","0","0","119567","0","119567","0","0","0","3326038","126683","3452721","0","",10,31,10,31,31,31,10,31,10,31,31,31,31,10,10,31,31,31,31,31,31,10,31,10,31,31,31,31,31,31,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"101675","A","4754258","0","4754258","0","0","0","411659","0","411659","0","0","0","29530","3339244","3368774","0","0","0","0","0","0","1772992","178614","1951606","11923","0","11923","0","0","0","1426852","0","1426852","0","0","0","63951","0","63951","0","0","0","8471165","3517858","11989023","0","",10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31,31,31,31,31,31,10,10,10,10,31,10,31,31,31,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"101693","A","11385818","0","11385818","0","0","0","0","0","0","0","0","0","0","1223074","1223074","0","886772","886772","0","0","0","2244791","435365","2680156","103386","126969","230355","0","0","0","1811870","0","1811870","0","0","0","227418","0","227418","0","0","0","15773283","2672180","18445463","0","",10,31,10,31,31,31,31,31,31,31,31,31,31,10,10,31,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"101709","A","7587795","0","7587795","0","0","0","12556328","0","12556328","0","0","0","0","2551137","2551137","816074","842277","1658351","0","0","0","0","190225","190225","0","0","0","0","0","0","5354773","0","5354773","0","0","0","1017420","42613","1060033","0","0","0","27332390","3626252","30958642","0","",10,31,10,31,31,31,10,31,10,31,31,31,31,21,18,10,10,10,31,31,31,31,10,10,31,31,31,31,31,31,10,31,10,31,31,31,10,10,10,31,31,31,10,18,18,31
"101736","A","4009174","0","4009174","0","0","0","8260121","96440","8356561","0","0","0","0","3622353","3622353","15194","334571","349765","0","27298","27298","4325","0","4325","0","0","0","43072","0","43072","1295266","0","1295266","0","0","0","410375","0","410375","0","0","0","14037527","4080662","18118189","0","",10,31,10,31,31,31,10,10,10,31,31,31,31,10,10,10,10,10,31,10,10,10,31,10,31,31,31,10,31,10,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"106245","A","25288879","2000","25290879","0","0","0","37269195","1925130","39194325","0","0","0","537437","8574032","9111469","561035","6112652","6673687","0","0","0","178318","2243991","2422309","8250","164497","172747","1592341","229732","1822073","4342931","0","4342931","0","0","0","1470058","1522226","2992284","0","0","0","71248444","20774260","92022704","0","",10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,10,10,10,10,10,10,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"106263","A","7295442","0","7295442","0","0","0","60805629","0","60805629","0","0","0","0","17632151","17632151","0","1891412","1891412","0","0","0","2047794","3083055","5130849","0","479017","479017","20464275","0","20464275","3618604","0","3618604","262341924","0","262341924","3283662","210952","3494614","0","0","0","359857330","23296587","383153917","0","",10,31,10,31,31,31,10,31,10,31,31,31,31,10,10,31,10,10,31,31,31,10,10,10,31,10,10,10,31,10,10,31,10,10,31,10,10,10,10,31,31,31,10,10,10,31
"106306","A","546669","0","546669","0","0","0","0","0","0","0","0","0","0","742579","742579","0","0","0","0","0","0","849399","0","849399","0","13334","13334","0","0","0","154483","0","154483","0","0","0","0","0","0","0","0","0","1550551","755913","2306464","0","",10,31,10,31,31,31,31,31,31,31,31,31,31,10,10,31,31,31,31,31,31,10,31,10,31,10,10,31,31,31,10,31,10,31,31,31,31,31,31,31,31,31,10,10,10,31
"109651","A","24650000","0","24650000","0","0","0","0","0","0","0","0","0","0","1246800","1246800","0","0","0","0","0","0","302700","1153900","1456600","404300","394900","799200","0","0","0","196000","0","196000","0","0","0","794000","48000","842000","0","0","0","26347000","2843600","29190600","0","",10,31,10,31,31,31,31,31,31,31,31,31,31,10,10,31,31,31,31,31,31,10,10,10,10,10,10,31,31,31,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"109785","A","38926045","148832","39074877","0","0","0","0","0","0","0","0","0","0","1326802","1326802","0","0","0","0","0","0","1106918","859971","1966889","185000","17558","202558","0","0","0","6992474","0","6992474","0","0","0","3990129","1375739","5365868","0","0","0","51200566","3728902","54929468","0","",10,10,10,31,31,31,31,31,31,31,31,31,31,10,10,31,31,31,31,31,31,10,10,10,10,10,10,31,31,31,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"109819","A","2096641","0","2096641","522849","308792","831641","9445445","2996353","12441798","16371372","0","16371372","0","4193309","4193309","0","653178","653178","0","0","0","89931","0","89931","0","0","0","17966","0","17966","1088835","120262","1209097","0","0","0","1114969","333776","1448745","0","0","0","30748008","8605670","39353678","0","",10,31,10,10,10,10,10,10,10,10,31,10,31,10,10,31,10,10,31,31,31,10,31,10,31,31,31,10,31,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"109907","A","433915","0","433915","0","0","0","0","0","0","0","0","0","13216","1157256","1170472","3275613","570060","3845673","2427336","0","2427336","0","25074","25074","0","0","0","0","0","0","0","0","0","0","0","0","4","0","4","0","0","0","6150084","1752390","7902474","0","",10,10,10,31,31,31,31,31,31,31,31,31,10,10,10,10,10,10,10,10,10,31,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,10,10,31,31,31,10,10,10,10
"110051","A","3475870","5885","3481755","0","0","0","0","0","0","0","0","0","0","502570","502570","0","439063","439063","0","0","0","699653","118783","818436","0","0","0","0","0","0","1631608","0","1631608","0","0","0","38807","94684","133491","0","0","0","5845938","1160985","7006923","0","",10,10,10,31,31,31,31,31,31,31,31,31,31,10,10,31,10,10,31,31,31,10,10,10,31,31,31,31,31,31,10,31,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"110097","A","28822692","0","28822692","0","0","0","0","0","0","0","0","0","0","1269854","1269854","0","0","0","0","0","0","2433518","1368325","3801843","238960","123973","362933","0","0","0","8606983","0","8606983","0","0","0","2013887","19559","2033446","0","0","0","42116040","2781711","44897751","0","",10,10,10,31,31,31,31,31,31,31,31,31,10,10,10,31,31,31,31,31,31,10,10,10,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31
"110176","A","3384235","0","3384235","0","0","0","0","0","0","0","0","0","0","662772","662772","0","191909","191909","0","0","0","0","0","0","0","0","0","0","0","0","2277140","0","2277140","0","0","0","21160","0","21160","0","0","0","5682535","854681","6537216","0","",10,31,10,31,31,31,31,31,31,31,31,31,31,10,10,31,10,10,31,31,31,31,31,31,31,31,31,31,31,31,10,31,10,31,31,31,10,31,10,31,31,31,18,10,10,31
"110185","A","5402423","0","5402423","0","0","0","0","0","0","0","0","0","0","212840","212840","0","136163","136163","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","279566","0","279566","0","0","0","5681989","349003","6030992","0","",10,31,10,31,31,31,31,31,31,31,31,31,31,11,11,31,16,16,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,10,31,10,31,31,31,10,11,18,31
"110246","A","2076447","1059451","3135898","80572","894156","974728","15300349","1426577","16726926","9006375","0","9006375","0","4122722","4122722","0","1234418","1234418","0","0","0","58256","138486","196742","0","0","0","19985","31389","51374","0","1067088","1067088","0","0","0","554611","19460","574071","0","0","0","27096595","9993747","37090342","662198","",10,10,10,10,10,10,10,10,10,10,31,10,31,10,10,31,10,10,31,31,31,10,10,10,31,31,31,10,10,10,31,10,10,31,31,31,10,10,10,31,31,31,10,10,10,10
"110307","A","3081431","0","3081431","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6466","3415","9881","2755","0","2755","643020","0","643020","210116","0","210116","0","0","0","31268","0","31268","0","0","0","3975056","3415","3978471","0","",10,31,10,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,10,10,10,10,31,10,10,31,10,10,31,10,31,31,31,10,31,10,31,31,31,10,10,10,31
"110316","A","5990915","0","5990915","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10901","447547","458448","15125","51475","66600","0","0","0","520125","0","520125","0","0","0","146374","0","146374","0","0","0","6683440","499022","7182462","0","",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"110334","A","2865677","772861","3638538","0","0","0","15795002","0","15795002","9917051","0","9917051","16241","1500621","1516862","0","2883718","2883718","40467","424551","465018","0","0","0","0","0","0","0","0","0","3793534","0","3793534","0","0","0","273809","0","273809","0","0","0","32701781","5581751","38283532","0","",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"110361","A","6863412","0","6863412","0","0","0","0","0","0","0","0","0","0","878836","878836","0","534801","534801","0","0","0","766571","385235","1151806","129898","43784","173682","0","0","0","2055287","0","2055287","0","0","0","1097258","166616","1263874","0","0","0","10912426","2009272","12921698","0","",10,31,10,31,31,31,31,31,31,31,31,31,31,11,11,31,10,10,31,31,31,10,10,10,10,10,10,31,31,31,10,31,10,31,31,31,10,10,10,31,31,31,10,11,18,31
